user_input,Approved symbol,Approved name,Previous symbols,Alias symbols,matching_status
MTNAP1,MTNAP1,mitochondrial nucleoid associated protein 1,C17orf80,"HLC-8, MIG3, FLJ20721, SPEP1",matched
MTNR1A,MTNR1A,melatonin receptor 1A,,MEL-1A-R,matched
MTNR1B,MTNR1B,melatonin receptor 1B,,,matched
MTO1,MTO1,mitochondrial tRNA translation optimization 1,,,matched
MTOR,MTOR,mechanistic target of rapamycin kinase,"FRAP, FRAP2, FRAP1","RAFT1, RAPT1, FLJ44809",matched
MTPAP,MTPAP,mitochondrial poly(A) polymerase,PAPD1,"FLJ10486, SPAX4, TENT6",matched
MTPN,MTPN,myotrophin,,"MYOTROPHIN, GCDP, V-1",matched
MTR,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,,cblG,matched
MTRES1,MTRES1,mitochondrial transcription rescue factor 1,C6orf203,"HSPC230, PRED31",matched
MTREX,MTREX,Mtr4 exosome RNA helicase,"KIAA0052, SKIV2L2","Mtr4, Dob1, fSAP118",matched
MTRF1,MTRF1,mitochondrial translation release factor 1,,"RF1, MTTRF1, MGC47721",matched
MTRF1L,MTRF1L,mitochondrial translation release factor 1 like,,"HMRF1L, mtRF1a",matched
MTRFR,MTRFR,mitochondrial translation release factor in rescue,C12orf65,"FLJ38663, SPG55, COXPD7, mtRF-R",matched
MTRR,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,,cblE,matched
MTSS1,MTSS1,MTSS I-BAR domain containing 1,,"KIAA0429, MIMA, MIMB, MIM",matched
MTSS2,MTSS2,MTSS I-BAR domain containing 2,MTSS1L,"ABBA-1, LOC92154, ABBA",matched
MTTP,MT-TP,mitochondrially encoded tRNA-Pro (CCN),MTTP,trnP,matched
MTURN,MTURN,"maturin, neural progenitor differentiation regulator homolog",C7orf41,"FLJ25903, Ells1",matched
MTUS1,MTUS1,microtubule associated scaffold protein 1,,"MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3",matched
MTUS2,MTUS2,microtubule associated scaffold protein 2,KIAA0774,"TIP150, CAZIP, ICIS",matched
MTX1,MTX1,metaxin 1,MTX,MTXN,matched
MTX2,MTX2,metaxin 2,,,matched
MTX3,MTX3,metaxin 3,,,matched
MUC1,MUC1,"mucin 1, cell surface associated","PUM, MCKD1","CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD, KL-6, EMA, Ca15-3",matched
MUC2,MUC2,"mucin 2, oligomeric mucus/gel-forming",,"MLP, MUC-2",matched
MUC3A,MUC3A,"mucin 3A, cell surface associated",MUC3,,matched
MUC3B,MUC3B,"mucin 3B, cell surface associated",,,matched
MUC4,MUC4,"mucin 4, cell surface associated",,"ASGP, MUC-4",matched
MUC5AC,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",,MUC5,matched
MUC5B,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",MUC5,"MG1, MUC-5B",matched
MUC6,MUC6,"mucin 6, oligomeric mucus/gel-forming (gene/pseudogene)",,MUC-6,matched
MUC7,MUC7,"mucin 7, secreted",,"FLJ27047, MG2",matched
MUC8,MUC8,mucin 8,,,matched
MUC12,MUC12,"mucin 12, cell surface associated",MUC11,,matched
MUC13,MUC13,"mucin 13, cell surface associated",DRCC1,,matched
MUC15,MUC15,"mucin 15, cell surface associated",,,matched
MUC16,MUC16,"mucin 16, cell surface associated",,"CA125, FLJ14303, CA-125",matched
MUC17,MUC17,"mucin 17, cell surface associated",,,matched
MUC19,MUC19,"mucin 19, oligomeric (gene/pseudogene)",,FLJ35746,matched
MUC20,MUC20,"mucin 20, cell surface associated",,"FLJ14408, KIAA1359",matched
MUC21,MUC21,"mucin 21, cell surface associated",C6orf205,bCX31G15.2,matched
MUC22,MUC22,mucin 22,,PBMUCL1,matched
MUCL1,MUCL1,mucin like 1,,SBEM,matched
MUCL3,MUCL3,mucin like 3,DPCR1,"PBLT, bCX105N19.6, C6orf37",matched
MUL1,MUL1,mitochondrial E3 ubiquitin protein ligase 1,C1orf166,"FLJ12875, MULAN, RNF218, MAPL, GIDE",matched
MUS81,MUS81,MUS81 structure-specific endonuclease subunit,,"FLJ44872, SLX3",matched
MUSK,MUSK,muscle associated receptor tyrosine kinase,,,matched
MUSTN1,MUSTN1,"musculoskeletal, embryonic nuclear protein 1",,Mustang,matched
MUTYH,MUTYH,mutY DNA glycosylase,,MYH,matched
MVB12A,MVB12A,multivesicular body subunit 12A,FAM125A,FLJ32495,matched
MVB12B,MVB12B,multivesicular body subunit 12B,"C9orf28, FAM125B",FLJ00001,matched
MVD,MVD,mevalonate diphosphate decarboxylase,,MPD,matched
MVK,MVK,mevalonate kinase,,"LRBP, MK",matched
MVP,MVP,major vault protein,,"LRP, VAULT1",matched
MX1,MX1,MX dynamin like GTPase 1,,"IFI-78K, MxA, lncMX1-215",matched
MX2,MX2,MX dynamin like GTPase 2,,MXB,matched
MXD1,MXD1,MAX dimerization protein 1,MAD,"MAD1, bHLHc58",matched
MXD3,MXD3,MAX dimerization protein 3,,"MAD3, bHLHc13",matched
MXD4,MXD4,MAX dimerization protein 4,,"MAD4, MSTP149, MST149, bHLHc12",matched
MXI1,MXI1,"MAX interactor 1, dimerization protein",,"MXD2, MAD2, MXI, bHLHc11",matched
MXRA5,MXRA5,matrix remodeling associated 5,,DKFZp564I1922,matched
MXRA7,MXRA7,matrix remodeling associated 7,,"FLJ46603, TMAP1, PS1TP1",matched
MXRA8,MXRA8,matrix remodeling associated 8,,DKFZp586E2023,matched
MYADM,MYADM,myeloid associated differentiation marker,,,matched
MYADML2,MYADML2,myeloid associated differentiation marker like 2,,LOC255275,matched
MYB,MYB,"MYB proto-oncogene, transcription factor",,c-myb,matched
MYBBP1A,MYBBP1A,MYB binding protein 1a,,"P160, PAP2, FLJ37886, Pol5",matched
MYBL1,MYBL1,MYB proto-oncogene like 1,,"AMYB, A-myb",matched
MYBL2,MYBL2,MYB proto-oncogene like 2,,"BMYB, B-MYB",matched
MYBPC1,MYBPC1,myosin binding protein C1,,ssMyBP-C,matched
MYBPC2,MYBPC2,myosin binding protein C2,,"MYBPCF, MGC163408, fsMyBP-C",matched
MYBPC3,MYBPC3,myosin binding protein C3,CMH4,"FHC, cMyBP-C",matched
MYBPH,MYBPH,myosin binding protein H,,,matched
MYBPHL,MYBPHL,myosin binding protein H like,,,matched
MYC,MYC,"MYC proto-oncogene, bHLH transcription factor",,"c-Myc, bHLHe39, MYCC",matched
MYCBP,MYCBP,MYC binding protein,,AMY-1,matched
MYCBP2,MYCBP2,MYC binding protein 2,,"PAM, KIAA0916, FLJ10106, PHR1",matched
MYCBPAP,MYCBPAP,MYCBP associated protein,,"AMAP-1, DKFZp434N1415",matched
MYCL,MYCL,"MYCL proto-oncogene, bHLH transcription factor",MYCL1,"LMYC, bHLHe38",matched
MYCN,MYCN,"MYCN proto-oncogene, bHLH transcription factor",NMYC,"bHLHe37, N-myc, MYCNOT",matched
MYCT1,MYCT1,MYC target 1,,"MTLC, FLJ21269",matched
MYD88,MYD88,MYD88 innate immune signal transduction adaptor,,,matched
MYDGF,MYDGF,myeloid derived growth factor,"IL27, IL27w, C19orf10","R33729_1, IL25, SF20, IL-25, IL-27",matched
MYEF2,MYEF2,myelin expression factor 2,,"MEF-2, FLJ11213, KIAA1341, HsT18564",matched
MYEOV,MYEOV,myeloma overexpressed,,OCIM,matched
MYF5,MYF5,myogenic factor 5,,bHLHc2,matched
MYF6,MYF6,myogenic factor 6,,"MRF4, bHLHc4",matched
MYG1,MYG1,MYG1 exonuclease,C12orf10,"MYG, Gamm1",matched
MYH1,MYH1,myosin heavy chain 1,,"MYHSA1, MYHa, MyHC-2X/D, MGC133384",matched
MYH2,MYH2,myosin heavy chain 2,IBM3,"MYH2A, MYHSA2, MyHC-IIa, MYHas8, MyHC-2A",matched
MYH3,MYH3,myosin heavy chain 3,,"MYHC-EMB, MYHSE1, HEMHC, SMHCE",matched
MYH4,MYH4,myosin heavy chain 4,,"MYH2B, MyHC-2B, MyHC-IIb",matched
MYH6,MYH6,myosin heavy chain 6,,,matched
MYH7,MYH7,myosin heavy chain 7,"CMH1, MPD1",CMD1S,matched
MYH7B,MYH7B,myosin heavy chain 7B,,"KIAA1512, dJ756N5.1, MYH14, MHC14, lncMYH7b",matched
MYH8,MYH8,myosin heavy chain 8,,"MyHC-peri, MyHC-pn",matched
MYH9,MYH9,myosin heavy chain 9,DFNA17,"NMMHCA, NMHC-II-A, MHA, FTNS, EPSTS",matched
MYH10,MYH10,myosin heavy chain 10,,NMMHCB,matched
MYH11,MYH11,myosin heavy chain 11,,"SMMHC, SMHC, SMMS-1",matched
MYH13,MYH13,myosin heavy chain 13,,MyHC-eo,matched
MYH14,MYH7B,myosin heavy chain 7B,,"KIAA1512, dJ756N5.1, MYH14, MHC14, lncMYH7b",matched
MYH15,MYH15,myosin heavy chain 15,,KIAA1000,matched
MYH16,MYH16,myosin heavy chain 16,MYH5,"MHC20, MYH16P",matched
MYL1,MYL1,myosin light chain 1,,"MLC1, MLC1F, MLC3F, MLC-1, MLC1/3",matched
MYL2,MYL2,myosin light chain 2,,CMH10,matched
MYL3,MYL3,myosin light chain 3,,"CMH8, VLC1, MLC1V, MLC1SB",matched
MYL4,MYL4,myosin light chain 4,,"ALC1, AMLC, GT1, PRO1957",matched
MYL5,MYL5,myosin light chain 5,,,matched
MYL6,MYL6,myosin light chain 6,,"ESMLC, MLC3NM, MLC1SM",matched
MYL6B,MYL6B,myosin light chain 6B,,MLC1SA,matched
MYL7,MYL7,myosin light chain 7,,"MYLC2A, MYL2A",matched
MYL9,MYL9,myosin light chain 9,,"MYRL2, MLC2, LC20, MRLC1",matched
MYL10,MYL10,myosin light chain 10,,"MGC3479, MYLC2PL, PLRLC",matched
MYL11,MYL11,myosin light chain 11,MYLPF,"MRLC2, HUMMLC2B",matched
MYL12A,MYL12A,myosin light chain 12A,,"MLCB, MYL2B, MRLC3, MRCL3",matched
MYL12B,MYL12B,myosin light chain 12B,,MRLC2,matched
MYLIP,MYLIP,myosin regulatory light chain interacting protein,,"MIR, IDOL",matched
MYLK,MYLK,myosin light chain kinase,,"MLCK, smMLCK, MYLK1, MLCK1, KRP, Telokin, MLCK108, MLCK210, MYLK-L",matched
MYLK2,MYLK2,myosin light chain kinase 2,,"skMLCK, KMLC, MLCK2",matched
MYLK3,MYLK3,myosin light chain kinase 3,,"caMLCK, MLCK",matched
MYLK4,MYLK4,myosin light chain kinase family member 4,,SgK085,matched
MYMK,MYMK,"myomaker, myoblast fusion factor",TMEM8C,"TMEM226, MYOMAKER",matched
MYMX,MYMX,"myomixer, myoblast fusion factor",,MINION,matched
MYNN,MYNN,myoneurin,,"SBBIZ1, ZBTB31, ZNF902",matched
MYO1A,MYO1A,myosin IA,"MYHL, DFNA48, BBMI",,matched
MYO1B,MYO1B,myosin IB,,myr1,matched
MYO1C,MYO1C,myosin IC,,"myr2, NMI, MyoIC",matched
MYO1D,MYO1D,myosin ID,,"KIAA0727, myr4, PPP1R108",matched
MYO1E,MYO1E,myosin IE,,"MYO1C, HuncM-IC, MGC104638",matched
MYO1F,MYO1F,myosin IF,,,matched
MYO1G,MYO1G,myosin IG,,HA-2,matched
MYO1H,MYO1H,myosin IH,,FLJ37587,matched
MYO3A,MYO3A,myosin IIIA,DFNB30,,matched
MYO3B,MYO3B,myosin IIIB,,,matched
MYO5A,MYO5A,myosin VA,MYH12,"MYO5, GS1, MYR12",matched
MYO5B,MYO5B,myosin VB,,KIAA1119,matched
MYO5C,MYO5C,myosin VC,,MGC74969,matched
MYO6,MYO6,myosin VI,"DFNA22, DFNB37",KIAA0389,matched
MYO7A,MYO7A,myosin VIIA,"USH1B, DFNB2, DFNA11",NSRD2,matched
MYO7B,MYO7B,myosin VIIB,,,matched
MYO9A,MYO9A,myosin IXA,,"FLJ11061, FLJ13244, MGC71859",matched
MYO9B,MYO9B,myosin IXB,CELIAC4,,matched
MYO10,MYO10,myosin X,,"KIAA0799, MyoX",matched
MYO15A,MYO15A,myosin XVA,"DFNB3, MYO15",,matched
MYO15B,MYO15B,myosin XVB,,MYO15BP,matched
MYO16,MYO16,myosin XVI,,"MYR8, KIAA0865, Myo16b, NYAP3, PPP1R107",matched
MYO18A,MYO18A,myosin XVIIIA,TIAF1,"KIAA0216, MysPDZ",matched
MYO18B,MYO18B,myosin XVIIIB,,BK125H2.1,matched
MYO19,MYO19,myosin XIX,MYOHD1,FLJ22865,matched
MYOC,MYOC,myocilin,GLC1A,"TIGR, JOAG1",matched
MYOCD,MYOCD,myocardin,,MYCD,matched
MYOCOS,MYOCOS,myocilin opposite strand,,,matched
MYOD1,MYOD1,myogenic differentiation 1,MYF3,"PUM, MYOD, bHLHc1",matched
MYOF,MYOF,myoferlin,FER1L3,KIAA1207,matched
MYOG,MYOG,myogenin,MYF4,bHLHc3,matched
MYOM1,MYOM1,myomesin 1,,,matched
MYOM2,MYOM2,myomesin 2,,,matched
MYOM3,MYOM3,myomesin 3,,FLJ35961,matched
MYORG,MYORG,myogenesis regulating glycosidase,KIAA1161,NET37,matched
MYOT,MYOT,myotilin,"TTID, LGMD1A, LGMD1",,matched
MYOZ1,MYOZ1,myozenin 1,MYOZ,"FATZ, CS-2",matched
MYOZ2,MYOZ2,myozenin 2,C4orf5,"CS-1, FATZ-2",matched
MYOZ3,MYOZ3,myozenin 3,,"CS-3, CS3, FRP3, FATZ-3",matched
MYPN,MYPN,myopalladin,,MYOP,matched
MYPOP,MYPOP,"Myb related transcription factor, partner of profilin",,P42pop,matched
MYRF,MYRF,myelin regulatory factor,C11orf9,"Ndt80, pqn-47, MRF",matched
MYRFL,MYRFL,myelin regulatory factor like,"C12orf15, C12orf28","FLJ25056, bcm1377",matched
MYRIP,MYRIP,myosin VIIA and Rab interacting protein,,"DKFZp586F1018, exophilin-8, SLAC2-C, SLAC2C",matched
MYSM1,MYSM1,"Myb like, SWIRM and MPN domains 1",,KIAA1915,matched
MYT1,MYT1,myelin transcription factor 1,PLPB1,"MTF1, MYTI, ZC2HC4A, NZF2, ZC2H2C1",matched
MYT1L,MYT1L,myelin transcription factor 1 like,,"KIAA1106, NZF1, ZC2HC4B, ZC2H2C2",matched
MYZAP,MYZAP,myocardial zonula adherens protein,,"MYOZAP, Gup, Gup1, GCOM1",matched
MZB1,MZB1,marginal zone B and B1 cell specific protein,,"PACAP, MGC29506, HSPC190, pERp1, MEDA-7",matched
MZF1,MZF1,myeloid zinc finger 1,ZNF42,"ZSCAN6, MZF1B, MZF-1, Zfp98",matched
MZT1,MZT1,mitotic spindle organizing protein 1,C13orf37,"LOC440145, FLJ21869, MGC150539, RP11-11C5.2, MOZART1",matched
MZT2A,MZT2A,mitotic spindle organizing protein 2A,FAM128A,MOZART2A,matched
MZT2B,MZT2B,mitotic spindle organizing protein 2B,FAM128B,"FLJ14346, MOZART2B",matched
N4BP1,N4BP1,NEDD4 binding protein 1,,,matched
N4BP2,N4BP2,NEDD4 binding protein 2,,B3BP,matched
N4BP2L1,N4BP2L1,NEDD4 binding protein 2 like 1,,CG018,matched
N4BP2L2,N4BP2L2,NEDD4 binding protein 2 like 2,,"CG005, PFAAP5",matched
N4BP3,N4BP3,NEDD4 binding protein 3,,LZTS4,matched
NAA10,NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit","ARD1, ARD1A","DXS707, TE2",matched
NAA11,NAA11,"N-alpha-acetyltransferase 11, NatA catalytic subunit",ARD1B,"ARD2, hARD2",matched
NAA15,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",NARG1,"TBDN100, NATH, FLJ13340",matched
NAA16,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",NARG1L,"FLJ22054, MGC40612, PRO2435",matched
NAA20,NAA20,"N-alpha-acetyltransferase 20, NatB catalytic subunit",NAT5,"dJ1002M8.1, NAT3",matched
NAA25,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",C12orf30,FLJ13089,matched
NAA30,NAA30,"N-alpha-acetyltransferase 30, NatC catalytic subunit","C14orf35, NAT12","FLJ35355, MAK3, Mak3p",matched
NAA35,NAA35,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",MAK10,"FLJ21613, FLJ22643, bA379P1.1",matched
NAA38,NAA38,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",LSMD1,"MGC14151, PFAAP2",matched
NAA40,NAA40,"N-alpha-acetyltransferase 40, NatD catalytic subunit",NAT11,FLJ13848,matched
NAA50,NAA50,"N-alpha-acetyltransferase 50, NatE catalytic subunit","MAK3, NAT13","FLJ13194, NAT5, San",matched
NAA60,NAA60,"N-alpha-acetyltransferase 60, NatF catalytic subunit",NAT15,"FLJ14154, HAT4, NatF, hNaa60",matched
NAA80,NAA80,"N-alpha-acetyltransferase 80, NatH catalytic subunit",NAT6,FUS2,matched
NAAA,NAAA,N-acylethanolamine acid amidase,ASAHL,,matched
NAALAD2,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,,"NAALADASE2, GCPIII",matched
NAALADL1,NAALADL1,N-acetylated alpha-linked acidic dipeptidase like 1,,HILAP,matched
NAALADL2,NAALADL2,N-acetylated alpha-linked acidic dipeptidase like 2,,,matched
NAB1,NAB1,NGFI-A binding protein 1,,,matched
NAB2,NAB2,NGFI-A binding protein 2,,MADER,matched
NABP1,NABP1,nucleic acid binding protein 1,"OBFC2A, NABP1-OT1","FLJ22833, DKFZp667M1322, FLJ13624, MGC111163, SSB2, hSSB2, SOSS-B2",matched
NABP2,NABP2,nucleic acid binding protein 2,OBFC2B,"MGC2731, SSB1, hSSB1, SOSS-B1",matched
NACA,NACA,nascent polypeptide associated complex subunit alpha,,"NACA1, Alpha-NAC",matched
NACA2,NACA2,nascent polypeptide associated complex subunit alpha 2,NACAL,MGC71999,matched
NACAD,NACAD,NAC alpha domain containing,,KIAA0363,matched
NACC1,NACC1,nucleus accumbens associated 1,BTBD14B,"NAC1, NAC-1, BEND8, BTBD30",matched
NACC2,NACC2,NACC family member 2,BTBD14A,"MGC23427, BEND9, BTBD31",matched
NADK,NADK,NAD kinase,,"FLJ13052, NADK1",matched
NADK2,NADK2,"NAD kinase 2, mitochondrial","C5orf33, NADKD1","FLJ30596, MNADK",matched
NADSYN1,NADSYN1,NAD synthetase 1,,FLJ10631,matched
NAE1,NAE1,NEDD8 activating enzyme E1 subunit 1,APPBP1,"ula-1, APP-BP1",matched
NAF1,NAF1,nuclear assembly factor 1 ribonucleoprotein,,,matched
NAGA,NAGA,alpha-N-acetylgalactosaminidase,,D22S674,matched
NAGK,NAGK,N-acetylglucosamine kinase,,GNK,matched
NAGLU,NAGLU,N-acetyl-alpha-glucosaminidase,,NAG,matched
NAGPA,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,,"APAA, UCE",matched
NAGS,NAGS,N-acetylglutamate synthase,,"AGAS, ARGA, NAT7",matched
NAIF1,NAIF1,nuclear apoptosis inducing factor 1,C9orf90,"DKFZp762G199, bA379C10.2",matched
NAIP,NAIP,NLR family apoptosis inhibitory protein,BIRC1,NLRB1,matched
NALCN,NALCN,"sodium leak channel, non-selective",VGCNL1,"bA430M15.1, CanIon",matched
NALF1,NALF1,NALCN channel auxiliary factor 1,FAM155A,NLF-1,matched
NALF2,NALF2,NALCN channel auxiliary factor 2,"TMEM28, CXorf63, FAM155B",TED,matched
NAMPT,NAMPT,nicotinamide phosphoribosyltransferase,PBEF1,PBEF,matched
NANOG,NANOG,Nanog homeobox,,"FLJ12581, FLJ40451",matched
NANOGNB,NANOGNB,NANOG neighbor homeobox,,,matched
NANOGP8,NANOGP8,Nanog homeobox retrogene P8,,,matched
NANOS1,NANOS1,nanos C2HC-type zinc finger 1,,"NOS1, ZC2HC12A",matched
NANOS2,NANOS2,nanos C2HC-type zinc finger 2,,"NOS2, ZC2HC12B",matched
NANOS3,NANOS3,nanos C2HC-type zinc finger 3,,"NANOS1L, NOS3, ZC2HC12C",matched
NANP,NANP,N-acetylneuraminic acid phosphatase,"C20orf147, HDHD4","dJ694B14.3, MGC26833",matched
NANS,NANS,N-acetylneuraminate synthase,,SAS,matched
NAP1L1,NAP1L1,nucleosome assembly protein 1 like 1,,"NRP, NAP1, NAP1L, MGC8688, MGC23410",matched
NAP1L2,NAP1L2,nucleosome assembly protein 1 like 2,,"BPX, MGC26243",matched
NAP1L3,NAP1L3,nucleosome assembly protein 1 like 3,,"MB20, NPL3, MGC26312",matched
NAP1L4,NAP1L4,nucleosome assembly protein 1 like 4,,NAP2,matched
NAP1L5,NAP1L5,nucleosome assembly protein 1 like 5,,DRLM,matched
NAPA,NAPA,NSF attachment protein alpha,,,matched
NAPB,NAPB,NSF attachment protein beta,,"SNAP-BETA, SNAPB",matched
NAPEPLD,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,,"FMP30, C7orf18, NAPE-PLD",matched
NAPG,NAPG,NSF attachment protein gamma,,,matched
NAPRT,NAPRT,nicotinate phosphoribosyltransferase,NAPRT1,PP3856,matched
NAPSA,NAPSA,napsin A aspartic peptidase,NR1H2-AS1,"NAP1, NAPA, Kdap, KAP",matched
NARF,NARF,nuclear prelamin A recognition factor,,"FLJ10067, DKFZp434G0420, IOP2",matched
NARS1,NARS1,asparaginyl-tRNA synthetase 1,NARS,AsnRS,matched
NARS2,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial",DFNB94,"FLJ23441, SLM5",matched
NASP,NASP,nuclear autoantigenic sperm protein,,"FLB7527, FLJ31599, FLJ35510, MGC19722, MGC20372, MGC2297, DKFZp547F162, PRO1999",matched
NAT1,EIF4G2,eukaryotic translation initiation factor 4 gamma 2,,"DAP5, NAT1, p97",matched
NAT2,NAT2,N-acetyltransferase 2,AAC2,,matched
NAT8,NAT8,N-acetyltransferase 8 (putative),,"Hcml1, TSC501, GLA, ATase2",matched
NAT8B,NAT8B,"N-acetyltransferase 8B (putative, gene/pseudogene)",,"Hcml2, NAT8BP, CML2",matched
NAT8L,NAT8L,N-acetyltransferase 8 like,,"FLJ37478, Hcml3, Shati",matched
NAT9,NAT9,N-acetyltransferase 9,,DKFZP564C103,matched
NAT10,NAT10,N-acetyltransferase 10,,"hALP, FLJ10774, FLJ12179, NET43, KIAA1709, Kre33",matched
NAT14,NAT14,N-acetyltransferase 14 (putative),,KLP1,matched
NAT16,NAT16,N-acetyltransferase 16 (putative),C7orf52,FLJ39237,matched
NATD1,NATD1,N-acetyltransferase domain containing 1,C17orf103,"MGC33894, Gtlf3b",matched
NAV1,NAV1,neuron navigator 1,,"FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1, DKFZp781D0314",matched
NAV2,NAV2,neuron navigator 2,,"FLJ10633, FLJ11030, HELAD1, KIAA1419, POMFIL2, RAINB1, FLJ23707",matched
NAV3,NAV3,neuron navigator 3,,"KIAA0938, POMFIL1",matched
NAXD,NAXD,NAD(P)HX dehydratase,CARKD,"LP3298, FLJ10769",matched
NAXE,NAXE,NAD(P)HX epimerase,APOA1BP,"AIBP, MGC119143, MGC119144, MGC119145, YJEFN1",matched
NBAS,NBAS,NBAS subunit of NRZ tethering complex,,NAG,matched
NBDY,NBDY,negative regulator of P-body association,LINC01420,NoBody,matched
NBEA,NBEA,neurobeachin,,"KIAA1544, BCL8B, FLJ10197, LYST2",matched
NBEAL1,NBEAL1,neurobeachin like 1,"ALS2CR17, ALS2CR16",MGC164581,matched
NBEAL2,NBEAL2,neurobeachin like 2,,KIAA0540,matched
NBL1,NBL1,"NBL1, DAN family BMP antagonist",,"D1S1733E, NB, DAN, NO3, DAND1",matched
NBN,ARTN,artemin,,"NBN, EVN, ENOVIN",matched
NBPF1,NBPF1,NBPF member 1,,"FLJ20719, KIAA1693",matched
NBPF3,NBPF3,NBPF member 3,,AE2,matched
NBPF4,NBPF4,NBPF member 4,,FLJ32833,matched
NBPF6,NBPF6,NBPF member 6,,,matched
NBPF8,NBPF8,NBPF member 8,NBPF8P,,matched
NBPF9,NBPF9,NBPF member 9,,AE01,matched
NBPF10,NBPF10,NBPF member 10,,AG1,matched
NBPF11,NBPF11,NBPF member 11,NBPF24,,matched
NBPF12,NBPF12,NBPF member 12,KIAA1245,COAS1,matched
NBPF14,NBPF14,NBPF member 14,,DJ328E19.C1.1,matched
NBPF15,NBPF15,NBPF member 15,NBPF16,MGC8902,matched
NBPF19,NBPF19,NBPF member 19,,,matched
NBPF20,NBPF20,NBPF member 20,,,matched
NBPF26,NBPF26,NBPF member 26,,,matched
NBR1,NBR1,NBR1 autophagy cargo receptor,M17S2,"CA125, KIAA0049, 1A1-3B",matched
NCALD,NCALD,neurocalcin delta,,,matched
NCAM1,NCAM1,neural cell adhesion molecule 1,,"NCAM, CD56",matched
NCAM2,NCAM2,neural cell adhesion molecule 2,,"NCAM21, MGC51008",matched
NCAN,NCAN,neurocan,CSPG3,,matched
NCAPD2,NCAPD2,non-SMC condensin I complex subunit D2,,"CNAP1, hCAP-D2, CAP-D2, KIAA0159",matched
NCAPD3,NCAPD3,non-SMC condensin II complex subunit D3,,"hCAP-D3, CAP-D3, hHCP-6, KIAA0056, FLJ42888, hcp-6",matched
NCAPG,NCAPG,non-SMC condensin I complex subunit G,,"FLJ12450, hCAP-G, CAP-G, YCG1",matched
NCAPG2,NCAPG2,non-SMC condensin II complex subunit G2,LUZP5,"FLJ20311, MTB, CAP-G2, hCAP-G2",matched
NCAPH,NCAPH,non-SMC condensin I complex subunit H,BRRN1,"CAP-H, hCAP-H, NCAPH1",matched
NCAPH2,NCAPH2,non-SMC condensin II complex subunit H2,,"384D8-2, hCAP-H2, CAP-H2",matched
NCBP1,NCBP1,nuclear cap binding protein subunit 1,NCBP,"CBP80, Sto1",matched
NCBP2,NCBP2,nuclear cap binding protein subunit 2,,"NIP1, CBP20, Cbc2",matched
NCBP2AS2,NCBP2AS2,NCBP2 antisense 2 (head to head),NCBP2-AS2,"HIAR, KRASIM",matched
NCBP2L,NCBP2L,nuclear cap binding protein subunit 2 like,,,matched
NCBP3,NCBP3,nuclear cap binding subunit 3,C17orf85,"HSA277841, ELG",matched
NCCRP1,NCCRP1,"NCCRP1, F-box associated domain containing",,"LOC342897, NCCRP-1, FBXO50",matched
NCDN,NCDN,neurochondrin,,"NCDN-1, NCDN-2",matched
NCEH1,NCEH1,neutral cholesterol ester hydrolase 1,AADACL1,"KIAA1363, NCEH",matched
NCF1,NCF1,neutrophil cytosolic factor 1,,"p47phox, NOXO2, NCF1A, SH3PXD1A",matched
NCF2,NCF2,neutrophil cytosolic factor 2,,"p67phox, NOXA2",matched
NCF4,NCF4,neutrophil cytosolic factor 4,,"p40phox, SH3PXD4",matched
NCK1,NCK1,NCK adaptor protein 1,NCK,NCKalpha,matched
NCK2,NCK2,NCK adaptor protein 2,,NCKbeta,matched
NCKAP1,NCKAP1,NCK associated protein 1,,"Nap1, HEM2, NAP125",matched
NCKAP1L,NCKAP1L,NCK associated protein 1 like,HEM1,,matched
NCKAP5,NCKAP5,NCK associated protein 5,,"NAP5, ERIH1, ERIH2",matched
NCKAP5L,NCKAP5L,NCK associated protein 5 like,KIAA1602,,matched
NCKIPSD,NCKIPSD,NCK interacting protein with SH3 domain,,"AF3P21, SPIN90, ORF1, WISH, WASLBP, DIP1",matched
NCL,NCL,nucleolin,,"C23, Nsr1",matched
NCLN,NCLN,nicalin,,"NICALIN, NET59",matched
NCMAP,NCMAP,non-compact myelin associated protein,C1orf130,"FLJ42528, MP11",matched
NCOA1,NCOA1,nuclear receptor coactivator 1,,"SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74",matched
